id,name,price,view,city,marka,model,year,type,color,litre,weight,fuel,travel,engine,cat12,cat13
"1586","Mercedes E 240, 2.4 L, 1999 il, 276 169 km","13 000 AZN","488","Gəncə","Mercedes","E 240","1999","Sedan","Gümüşü","2.4 L","170 a.g.","Benzin","276 169 km","Avtomat","Arxa","Xeyr"
"1587","Mazda Tribute, 3.0 L, 2005 il, 173 500 km","15 500 AZN","746","Gəncə","Mazda","Tribute","2005","Offroader / SUV","Gümüşü","3.0 L","205 a.g.","Benzin","173 500 km","Avtomat","Tam","Xeyr"
"1588","Mercedes C 200, 2.0 L, 1994 il, 321 000 km","9 200 AZN","1383","Gəncə","Mercedes","C 200","1994","Sedan","Qırmızı","2.0 L","122 a.g.","Benzin","321 000 km","Avtomat","Arxa","Xeyr"
"1589","Ford Fusion, 1.5 L, 2020 il, 6 778 km","35 900 AZN","1743","Gəncə","Ford","Fusion","2020","Sedan","Qara","1.5 L","181 a.g.","Benzin","6 778 km","Avtomat","Ön","Xeyr"
"1590","Mitsubishi Pajero, 3.0 L, 2007 il, 157 000 km","22 700 AZN","765","Gəncə","Mitsubishi","Pajero","2007","Offroader / SUV","Qara","3.0 L","190 a.g.","Benzin","157 000 km","Avtomat","Tam","Xeyr"
"1591","Kia Ceed, 1.6 L, 2007 il, 192 000 km","13 700 AZN","681","Gəncə","Kia","Ceed","2007","Universal","Göy","1.6 L","115 a.g.","Dizel","192 000 km","Mexaniki","Ön","Xeyr"
"1592","LADA (VAZ) 2110, 1.5 L, 1999 il, 22 222 km","5 900 AZN","2167","Gəncə","LADA (VAZ)","2110","1999","Sedan","Qızılı","1.5 L","75 a.g.","Benzin","22 222 km","Mexaniki","Ön","Xeyr"
"1593","Mercedes Vito, 2.2 L, 2009 il, 440 000 km","26 800 AZN","501","Gəncə","Mercedes","Vito","2009","Van","Ağ","2.2 L","150 a.g.","Dizel","440 000 km","Mexaniki","Arxa","Xeyr"
"1594","Opel Vectra, 2.2 L, 2002 il, 400 000 km","8 500 AZN","1137","Gəncə","Opel","Vectra","2002","Sedan","Göy","2.2 L","150 a.g.","Dizel","400 000 km","Mexaniki","Ön","Xeyr"
"1595","Shacman F3000, 12 L, 2012 il, 250 000 km","55 000 AZN","996","Gəncə","Shacman","F3000","2012","Yük maşını","Qırmızı","12 L","375 a.g.","Dizel","250 000 km","Mexaniki","Arxa","Xeyr"
"1596","Mitsubishi Pajero, 3.8 L, 2007 il, 198 000 km","24 300 AZN","1391","Gəncə","Mitsubishi","Pajero","2007","Offroader / SUV","Ağ","3.8 L","250 a.g.","Benzin","198 000 km","Avtomat","Tam","Xeyr"
"1597","Haval Jolion, 1.5 L, 2021 il, yeni","37 900 AZN","3329","Gəncə","Haval","Jolion","2021","Offroader / SUV","Ağ","1.5 L","150 a.g.","Benzin","0 km","Avtomat","Ön","Bəli"
"1598","Mercedes E 240, 2.6 L, 1999 il, 280 000 km","12 700 AZN","694","Gəncə","Mercedes","E 240","1999","Sedan","Qızılı","2.6 L","170 a.g.","Benzin","280 000 km","Avtomat","Arxa","Xeyr"
"1599","LADA (VAZ) 2115, 1.6 L, 2011 il, 134 000 km","8 700 AZN","1672","Gəncə","LADA (VAZ)","2115","2011","Sedan","Qara","1.6 L","80 a.g.","Benzin","134 000 km","Mexaniki","Ön","Xeyr"
"1600","LADA (VAZ) 2107, 1.6 L, 2009 il, 123 000 km","7 000 AZN","664","Gəncə","LADA (VAZ)","2107","2009","Sedan","Tünd qırmızı","1.6 L","75 a.g.","Benzin","123 000 km","Mexaniki","Arxa","Xeyr"
"1601","Mercedes C 280, 2.8 L, 2000 il, 181 000 km","11 800 AZN","5688","Gəncə","Mercedes","C 280","2000","Sedan","Ağ","2.8 L","197 a.g.","Benzin","181 000 km","Avtomat","Arxa","Xeyr"
"1602","Mercedes Vito, 2.2 L, 2016 il, 178 000 km","52 000 $","8631","Gəncə","Mercedes","Vito","2016","Mikroavtobus","Ağ","2.2 L","163 a.g.","Dizel","178 000 km","Mexaniki","Arxa","Xeyr"
"1603","Chevrolet Cruze, 1.6 L, 2012 il, 100 000 km","10 500 AZN","2887","Gəncə","Chevrolet","Cruze","2012","Sedan","Ağ","1.6 L","124 a.g.","Benzin","100 000 km","Mexaniki","Ön","Xeyr"
"1604","Volkswagen Passat, 1.8 L, 2002 il, 321 540 km","7 200 AZN","738","Gəncə","Volkswagen","Passat","2002","Sedan","Göy","1.8 L","170 a.g.","Benzin","321 540 km","Avtomat","Ön","Xeyr"
"1605","LADA (VAZ) 2107, 1.5 L, 2011 il, 93 000 km","10 700 AZN","9300","Gəncə","LADA (VAZ)","2107","2011","Sedan","Yaş Asfalt","1.5 L","65 a.g.","Benzin","93 000 km","Mexaniki","Ön","Xeyr"
"1606","Nissan Patrol, 5.6 L, 2011 il, 191 000 km","34 900 $","9706","Gəncə","Nissan","Patrol","2011","Offroader / SUV","Ağ","5.6 L","405 a.g.","Benzin","191 000 km","Avtomat","Tam","Xeyr"
"1607","Ford Transit, 2.2 L, 2012 il, 179 250 km","28 000 AZN","9579","Gəncə","Ford","Transit","2012","Yük maşını","Ağ","2.2 L","125 a.g.","Dizel","179 250 km","Mexaniki","Ön","Xeyr"
"1608","Opel Astra, 1.3 L, 2008 il, 188 000 km","12 000 AZN","6519","Gəncə","Opel","Astra","2008","Hetçbek / Liftbek","Qara","1.3 L","90 a.g.","Dizel","188 000 km","Mexaniki","Ön","Xeyr"
"1609","Opel Astra, 1.3 L, 2008 il, 200 200 km","11 000 AZN","468","Gəncə","Opel","Astra","2008","Universal","Göy","1.3 L","90 a.g.","Dizel","200 200 km","Mexaniki","Ön","Xeyr"
"1610","LADA (VAZ) 2106, 1.6 L, 1992 il, 150 000 km","3 700 AZN","529","Gəncə","LADA (VAZ)","2106","1992","Sedan","Bej","1.6 L","75 a.g.","Benzin","150 000 km","Mexaniki","Arxa","Xeyr"
"1611","LADA (VAZ) 2114, 1.6 L, 2010 il, 274 000 km","8 700 AZN","757","Gəncə","LADA (VAZ)","2114","2010","Hetçbek / Liftbek","Boz","1.6 L","80 a.g.","Benzin","274 000 km","Mexaniki","Ön","Xeyr"
"1612","Mercedes E 230, 2.3 L, 1995 il, 238 616 km","8 900 AZN","1382","Gəncə","Mercedes","E 230","1995","Sedan","Yaş Asfalt","2.3 L","150 a.g.","Benzin","238 616 km","Avtomat","Arxa","Xeyr"
"1613","Mercedes E 240, 2.4 L, 1999 il, 230 000 km","14 000 AZN","491","Gəncə","Mercedes","E 240","1999","Sedan","Ağ","2.4 L","170 a.g.","Benzin","230 000 km","Avtomat","Arxa","Xeyr"
"1614","LADA (VAZ) 21099, 1.5 L, 2000 il, 345 653 km","5 200 AZN","1257","Gəncə","LADA (VAZ)","21099","2000","Sedan","Yaş Asfalt","1.5 L","74 a.g.","Benzin","345 653 km","Mexaniki","Ön","Xeyr"
"1615","LADA (VAZ) 2107, 1.6 L, 2004 il, 20 000 km","8 000 AZN","2269","Gəncə","LADA (VAZ)","2107","2004","Sedan","Göy","1.6 L","75 a.g.","Benzin","20 000 km","Mexaniki","Arxa","Xeyr"
"1616","UAZ 469, 2.4 L, 1988 il, 72 500 km","6 400 AZN","1344","Gəncə","UAZ","469","1988","Offroader / SUV","Bej","2.4 L","82 a.g.","Benzin","72 500 km","Mexaniki","Tam","Xeyr"
